AbJahr,AbSemester,Modulnummer,Modul,Acronym,Art,Credits,Semester,Wochenstunden,Studienrichtung,Richtung,Professor,PVL,APL,schriftliche Prüfung,mündliche Prüfung
18,SoSe,I832,Algorithmik,ALG,Pflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,false,false,false,true
18,SoSe,I220,Programmierparadigmen,PRO,Pflichtmodul,2,3,2,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,false,false,true,false
18,SoSe,I265,Diskrete Simulation,DIS,Pflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Thomas Wiedemann,false,false,true,false
18,SoSe,I725,Parallele Algorithmierung,PAA,Pflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Peter Sobe,false,false,true,false
18,SoSe,I740,Computer Vision / Bildverstehen,CVB,Pflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Wolfgang Oertel,false,false,false,true
18,SoSe,W955,Marketing/Unternehmensführung,MAU,Pflichtmodul,5,3,2,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. pol. Nicola Neuvians,false,false,true,false
18,SoSe,I707,Masterarbeit,MAS,Pflichtmodul,30,4,0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Maik Thiele,false,false,true,true
18,SoSe,I730,Echtzeitsysteme,ECH,Wahlpflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Robert Baumgartl,false,false,true,false
18,SoSe,I820,Kontinuierliche Simulation,KOS,Wahlpflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. habil. Jörg Wensch,false,false,true,false
18,SoSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Wolfgang Oertel,false,false,false,true
18,SoSe,I760,Mobile Netze,MON,Wahlpflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Mario Neugebauer,false,true,false,true
18,SoSe,I831,Maschinelle Lernverfahren,MAL,Wahlpflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,false,false,false,true
18,SoSe,I833,Deep Learning,DEL,Wahlpflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,false,false,false,true
11,WiSe,I170,Informationssicherheit,INF,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I176,IT-Vertragsrecht ,ITV,Pflichtmodul,3,1,2,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I143,Erweiterte Datenbanktechnologien/ Medienarchive,EDM,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I886,Mathematische/Stochastische Modelle,MSM,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I755,Software Factories,SOF,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I778,Marketing/ Unternehmensfühung,MAU,Pflichtmodul,2,1,2,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I725,Parallele Algorithmierung ,PAA,Pflichtmodul,5,2,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I265,Diskrete Simulation,DIS,Pflichtmodul,5,2,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I740,Computer Vision/Bildverstehen,CVB,Pflichtmodul,5,2,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I220,Programmierparadigmen,PRO,Pflichtmodul,2,2,2,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I282,Numerische Mathematik,NUM,Pflichtmodul,3,2,2,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I754,Algorithmen und Lernverfahren,ALL,Pflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I771,Sensornetze ,SEN,Pflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10,3,3,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I707,Masterarbeit,MAS,Pflichtmodul,30,4,0,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I760,Mobile Netze,MON,Wahlpflichtmodul,5,2,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I870,Formale Verifikation,FOV,Wahlpflichtmodul,5,2,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I730,Echtzeitsysteme,ECH,Wahlpflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I845,Wissenschaftlich-technische Visualisierung ,WTV,Wahlpflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,WiSe,I820,Kontinuierliche Simulation,KOS,Wahlpflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I170,Informationssicherheit,INF,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I176,IT-Vertragsrecht ,ITV,Pflichtmodul,3,1,2,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I143,Erweiterte Datenbanktechnologien/ Medienarchive,EDM,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I886,Mathematische/Stochastische Modelle,MSM,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I755,Software Factories,SOF,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Pflichtmodul,5,1,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I778,Marketing/ Unternehmensfühung,MAU,Pflichtmodul,2,1,2,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
11,SoSe,I725,Parallele Algorithmierung ,PAA,Pflichtmodul,5,3,4,71,Intelligente Informations- und Kommunikationstechnologien,,,,,
