AbJahr,AbSemester,Modulnummer,Modul,Acronym,Art,Credits,Semester,Wochenstunden,Studienrichtung,Richtung,Professor,PVL,APL,schriftliche Prüfung,mündliche Prüfung
18,WiSe,I837,"Mathematisch-stochastische Modelle: Stochastische Prozesse, Spieltheorie, Zeitreihen",MSMSPSZ,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
18,WiSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,False,True
18,WiSe,I820,Kontinuierliche Simulation,KOS,Pflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. habil. Jörg Wensch,False,False,True,False
18,WiSe,I832,Algorithmik,ALG,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,WiSe,I707,Masterarbeit,MAS,Pflichtmodul,30.0,4.0,0.0,74,Data Science,Prof. Dr.-Ing. Maik Thiele,False,False,True,True
18,WiSe,I282,Numerische Mathematik,NUM,Pflichtmodul,3.0,1.0,2.0,74,Data Science,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,True,False
18,WiSe,I840,Software-Engineering-Projekt,SEP,Pflichtmodul,3.0,1.0,2.0,74,Data Science,Prof. Dr.-Ing. habil. Dirk Müller,False,True,False,False
18,WiSe,I740,Computer Vision / Bildverstehen,CVB,Wahlpflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Wolfgang Oertel,False,False,False,True
18,WiSe,I831,Maschinelle Lernverfahren,MAL,Wahlpflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,WiSe,I838,Mathematisch-stochastische Modelle: Modellbildung und Modellanpassung,MSMMM,Wahlpflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Fabian Schwarzenberger,False,False,False,True
18,WiSe,I523,3D-Programmierung,3DP,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr. rer. nat. Marco Block-Berlitz,False,True,False,False
18,WiSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,False,False,True,False
18,WiSe,I755,Software Factories,SOF,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Dirk Müller,False,False,True,False
18,WiSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Wolfgang Oertel,False,False,False,True
18,WiSe,I836,Mathematisch-stochastische Modelle: Markovketten und Monte-Carlo-Simulationen,MSMMMCS,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
18,WiSe,I836,Mathematisch-stochastische Modelle: Markovketten und Monte-Carlo-Simulationen,MSMMMCS,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
18,SoSe,I143,Erweiterte Datenbanktechnologien/Medienarchive,EDM,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. Maik Thiele,False,False,True,False
18,SoSe,I170,Informationssicherheit,INF,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. Robert Baumgartl,False,False,True,False
18,SoSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3.0,1.0,2.0,74,Data Science,Prof. Dr.-Ing. Andreas Westfeld,False,True,False,False
18,SoSe,I265,Diskrete Simulation,DIS,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. Thomas Wiedemann,False,False,True,False
18,SoSe,I725,Parallele Algorithmierung,PAA,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Peter Sobe,False,False,True,False
18,SoSe,I837,"Mathematisch-stochastische Modelle: Stochastische Prozesse, Spieltheorie, Zeitreihen",MSMSPSZ,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
